Rank,Last Round Single Time,Last Round Average Time,Rounds Competed,Best Single Time,Best Average Time,Number of Competitors,Number of Penalties
15,7.84,10.49,4,4.08,7.96,127,0
18,7.9,9.03,2,4.08,7.96,251,0
22,7.25,9.45,2,4.08,7.96,146,1
15,7.61,10.27,3,4.08,7.96,132,1
1,5.94,6.59,3,4.11,5.45,72,0
4,5.9,6.43,4,4.11,5.45,171,0
1,5.01,5.45,1,4.11,5.45,44,0
2,6.09,6.41,2,4.11,5.45,74,1
2,5.31,6.52,2,4.11,5.45,97,0
3,6.24,6.94,4,4.11,5.45,121,0
1,5.44,6.82,3,4.11,5.45,40,0
1,4.8,6.38,2,4.11,5.45,34,0
2,5.22,6.51,3,4.11,5.45,84,0
1,5.02,5.99,3,4.11,5.45,44,0
1,5.67,6.37,3,4.11,5.45,75,0
1,5.33,5.96,3,4.11,5.45,71,0
2,4.95,6.96,2,4.11,5.45,79,0
1,5.66,6.18,2,4.11,5.45,44,0
3,6.11,7.35,4,4.14,5.63,229,0
15,7.15,7.71,4,4.14,5.63,847,0
14,6.1,7.17,2,4.14,5.63,27,0
2,6.92,7,3,4.14,5.63,172,0
1,5.93,6.96,4,4.14,5.63,152,0
2,6.11,7.2,2,4.14,5.63,298,0
1,6.56,7.6,3,4.14,5.63,72,0
1,5.97,7.17,4,4.15,5.94,234,0
13,5.49,6.98,4,4.15,5.94,847,1
2,6.23,6.98,3,4.15,5.94,117,0
2,6.46,7.1,3,4.15,5.94,126,0
2,6.47,7.23,3,4.15,5.94,92,0
2,5.98,6.5,3,4.15,5.94,244,0
4,6.14,7.56,3,4.15,5.94,183,0
1,5.7,6.59,3,4.15,5.94,106,1
2,5.26,5.74,4,4.16,5.53,337,1
2,5.19,6.87,3,4.16,5.53,102,0
1,4.48,6.08,3,4.16,5.53,77,0
1,6.14,6.66,3,4.16,5.53,94,0
2,5.93,6.22,4,4.16,5.53,382,0
3,6.09,6.78,3,4.16,5.53,64,0
2,5.3,5.64,4,4.17,5.64,287,0
10,5.63,6.69,4,4.17,5.64,847,1
3,5.12,6.25,4,4.17,5.64,171,0
1,5.28,6.23,1,4.17,5.64,45,0
1,4.26,5.9,2,4.17,5.64,190,0
1,5.16,6.4,3,4.17,5.64,231,0
1,5.61,6.56,2,4.17,5.64,161,0
1,5.43,6.65,3,4.17,5.64,170,0
2,6.24,7.63,3,4.17,5.64,235,0
2,6.22,6.8,3,4.17,5.64,119,0
1,5.62,6.29,3,4.17,5.64,276,0
3,6.32,6.84,4,4.19,6,324,0
2,5.48,6.38,3,4.19,6,77,1
3,5.62,6.56,4,4.19,6,382,1
26,7.76,9.33,3,4.24,7.46,287,0
3,7.03,8.16,2,4.24,7.46,55,0
4,6.99,8.75,3,4.24,7.46,38,1
3,8.09,8.42,3,4.24,7.46,29,0
3,6.73,8.43,3,4.24,7.46,62,0
6,6.98,9.93,3,4.24,7.46,46,0
3,7.66,8.36,3,4.24,7.46,39,0
3,6.81,8.38,3,4.24,7.46,55,0
3,7.77,8.53,3,4.24,7.46,46,0
3,7.26,8.13,3,4.24,7.46,46,0
3,4.24,8.56,3,4.24,7.46,39,0
2,6.89,7.46,3,4.24,7.46,76,0
6,7.73,8.14,3,4.24,7.11,144,0
4,5.94,7.4,3,4.24,7.11,66,0
30,6.85,7.25,3,4.24,7.11,1136,0
3,6.62,7.53,3,4.24,7.11,59,1
8,7.77,8.43,3,4.24,7.11,141,0
5,7.1,7.78,2,4.24,7.11,48,0
3,6.68,7.33,3,4.24,7.11,92,0
3,7.27,7.44,3,4.24,7.11,48,0
4,6.4,8.09,2,4.24,7.11,50,0
1,5.45,7.58,3,4.24,7.11,58,0
5,4.24,8.07,3,4.24,7.11,58,0
2,6.01,6.71,3,4.24,5.57,166,1
3,5.45,6.38,3,4.24,5.57,97,1
6,5.2,6.47,4,4.24,5.57,1136,0
1,5.81,6.6,3,4.24,5.57,190,0
1,5.95,6.86,3,4.24,5.57,60,0
2,5.39,6.2,3,4.24,5.57,183,0
1,5.3,5.97,3,4.24,5.57,129,1
2,5.47,7.09,3,4.24,5.57,178,0
1,5.17,6,4,4.24,5.57,182,0
1,4.7,6.22,3,4.26,5.39,63,0
1,5.55,6.33,3,4.26,5.39,67,0
3,5.87,6.77,4,4.26,5.39,182,0
26,5.95,7.47,3,4.26,5.39,847,0
4,5.25,6.2,3,4.26,5.39,27,0
2,5.22,6.18,3,4.26,5.39,140,0
1,5.54,6.12,3,4.26,5.39,56,1
1,4.36,5.72,4,4.26,5.39,359,0
1,5.33,6.6,3,4.26,5.39,76,0
2,5.81,6.43,3,4.26,5.39,152,0
1,5.93,6.27,3,4.26,5.39,88,0
1,5.27,5.99,3,4.26,5.39,89,0
1,5.19,6.32,2,4.26,5.39,56,1
1,5.65,6.9,4,4.26,5.39,184,0
1,4.46,5.83,3,4.26,5.39,41,0
1,5.29,6.15,4,4.26,5.39,128,0
1,5.86,6.24,3,4.26,5.39,105,0
1,5.05,6.1,3,4.26,5.39,94,1
1,5.29,6.27,3,4.26,5.39,52,0
1,5.33,6.96,2,4.26,5.6,120,0
1,5.22,5.64,3,4.26,5.6,135,0
5,5.94,6.46,4,4.26,5.6,1136,0
5,5.97,6.2,4,4.26,5.6,847,0
1,5.54,6.13,2,4.26,5.6,118,0
1,5.9,6.49,2,4.26,5.6,63,0
1,5.68,6.19,3,4.26,5.6,32,0
1,5.88,6.43,2,4.26,5.6,118,0
1,5.6,6.56,3,4.26,5.6,81,1
1,5.46,6.25,3,4.26,5.6,143,0
1,5.12,7.12,2,4.26,5.6,116,1
1,5.52,6,2,4.26,5.6,106,1
1,5.48,6.28,1,4.26,5.6,118,0
1,4.35,6.73,4,4.26,5.6,144,0
6,5.77,6.72,3,4.28,5.81,139,0
9,6.13,7.29,4,4.28,5.81,272,0
14,5.94,7.76,3,4.28,5.81,217,0
2,4.98,5.81,3,4.28,5.81,166,0
5,5.56,6.25,3,4.28,5.81,138,0
6,5.88,6.34,3,4.28,5.58,192,0
6,5.25,6.98,3,4.28,5.58,144,0
9,6.61,6.78,3,4.28,5.58,217,1
2,5.08,6,3,4.28,5.58,127,0
6,4.42,6.34,3,4.28,5.58,190,0
5,5.82,6.47,3,4.28,5.58,166,0
5,4.57,6.42,3,4.28,5.58,135,0
4,4.68,6.11,3,4.28,5.58,138,0
4,5.13,6.56,3,4.28,5.58,191,0
5,5.89,6.26,3,4.28,5.58,187,0
1,5.44,5.75,3,4.28,5.58,193,0
5,5.39,5.83,3,4.28,5.58,155,0
1,4.58,6.41,3,4.31,5.24,77,0
1,5.03,5.27,3,4.31,5.24,51,0
7,5.6,7.11,4,4.31,5.24,171,1
1,4.89,6.63,3,4.31,5.24,49,1
1,5.29,5.85,3,4.31,5.24,43,0
3,5.78,6.94,3,4.32,6.19,151,1
4,6.85,7.15,4,4.32,6.19,239,0
4,5.55,7.51,3,4.32,6.19,117,0
3,6.21,7.21,3,4.32,6.19,126,0
5,6.46,8.18,3,4.32,6.19,244,0
2,6.24,7.92,3,4.32,6.19,168,0
3,6.18,7.26,4,4.32,6.19,112,0
3,5.58,7.19,3,4.32,6.19,183,0
2,5.95,7.22,3,4.32,6.19,99,0
2,5.4,7.07,3,4.32,6.19,168,0
1,5.15,7.48,3,4.32,6.07,98,0
3,5.7,6.86,3,4.32,6.07,112,0
22,6.6,7.09,3,4.32,6.07,1136,0
5,5.64,6.52,4,4.32,6.07,206,0
1,5.01,6.49,3,4.32,6.07,77,0
2,6.65,6.87,4,4.32,6.07,159,0
1,6.32,6.71,3,4.32,6.07,95,0
3,6.11,6.43,3,4.32,6.07,111,0
2,6.58,7.67,3,4.32,6.07,100,0
2,6.36,7.34,4,4.32,6.07,132,0
4,5.76,6.78,4,4.32,6.07,280,0
2,6.46,7.17,3,4.32,6.07,76,0
1,6.16,7.45,3,4.32,6.07,45,0
1,6.11,6.58,3,4.32,6.07,109,0
3,6.35,7.07,4,4.32,6.07,138,0
1,5.68,7.65,3,4.33,6.62,77,1
25,6.47,7.13,3,4.33,6.62,1136,0
17,6.65,8.35,4,4.33,6.62,206,0
2,5.42,7.18,4,4.33,6.62,202,0
3,6.45,7.96,3,4.33,6.62,86,0
2,6.9,7.63,3,4.33,6.62,107,0
1,6.27,6.7,2,4.33,6.62,29,0
4,6.43,8.28,3,4.33,6.62,87,1
2,6.74,7.93,3,4.33,6.62,85,0
1,5.97,6.83,3,4.33,6.62,97,0
1,6.31,7.28,3,4.33,6.62,120,0
11,7.35,7.65,2,4.33,6.62,280,0
1,6.5,6.68,3,4.33,6.62,98,0
1,6.3,7.18,3,4.33,6.62,92,0
1,6.15,7.06,3,4.33,6.62,98,0
1,6.84,7.99,1,4.33,6.62,94,0
2,6.07,7.89,3,4.33,6.62,97,0
1,6.62,7.01,3,4.33,6.62,78,0
5,5.42,6.21,3,4.33,5.56,192,0
1,5.55,5.88,3,4.33,5.56,127,0
5,5.55,6.23,3,4.33,5.56,190,0
3,5.44,6.22,3,4.33,5.56,166,0
6,5.27,6.55,3,4.33,5.56,135,0
3,5.33,6.15,3,4.33,5.56,281,0
