Last Round Average Time,Best Average Time,Last Round Single Time,Rank,Best Single Time,Name,Representation
7.97,6.27,6.17,1,3.74,Claudio Matias Cancino Bruna,Chile
7.69,6.27,6.51,2,3.74,Claudio Matias Cancino Bruna,Chile
7.21,6.27,5.19,1,3.74,Claudio Matias Cancino Bruna,Chile
7.05,6.27,5.99,1,3.74,Claudio Matias Cancino Bruna,Chile
6.71,6.27,5.57,1,3.74,Claudio Matias Cancino Bruna,Chile
6.74,6.27,5.9,1,3.74,Claudio Matias Cancino Bruna,Chile
7.27,6.27,6.54,1,3.74,Claudio Matias Cancino Bruna,Chile
7.39,6.27,6.63,1,3.74,Claudio Matias Cancino Bruna,Chile
7.1,6.27,6.4,1,3.74,Claudio Matias Cancino Bruna,Chile
7.5,6.27,5.85,1,3.74,Claudio Matias Cancino Bruna,Chile
7.26,6.27,6.52,1,3.74,Claudio Matias Cancino Bruna,Chile
6.65,6.27,5.81,1,3.74,Claudio Matias Cancino Bruna,Chile
7.24,6.27,6.66,1,3.74,Claudio Matias Cancino Bruna,Chile
7.74,6.27,7.01,1,3.74,Claudio Matias Cancino Bruna,Chile
7.27,5.58,5.92,2,3.79,Caleb Chen,United States
6.65,5.58,5.78,2,3.79,Caleb Chen,United States
6.71,5.58,3.79,1,3.79,Caleb Chen,United States
8,5.58,6.13,41,3.79,Caleb Chen,United States
6.82,5.58,4.84,8,3.79,Caleb Chen,United States
7.13,5.58,4.97,7,3.79,Caleb Chen,United States
5.63,5.58,4.67,1,3.79,Caleb Chen,United States
6.41,5.58,4.24,1,3.79,Caleb Chen,United States
7.29,5.58,6.57,2,3.79,Caleb Chen,United States
7.01,5.58,6.4,3,3.79,Caleb Chen,United States
6.74,5.58,5.73,2,3.79,Caleb Chen,United States
6.71,5.58,5.39,1,3.79,Caleb Chen,United States
6.95,5.58,5.75,1,3.79,Caleb Chen,United States
6.16,5.58,4.31,1,3.79,Caleb Chen,United States
6.22,5.58,5.57,1,3.79,Caleb Chen,United States
7.25,5.58,6.68,3,3.79,Caleb Chen,United States
6.05,5.58,4.96,1,3.79,Caleb Chen,United States
6.12,5.58,5.86,1,3.79,Caleb Chen,United States
6.46,5.99,5.39,1,3.86,Ryan Pilat,United States
6.59,5.99,6.05,2,3.86,Ryan Pilat,United States
6.65,5.99,5.26,9,3.86,Ryan Pilat,United States
6.78,5.99,5.02,12,3.86,Ryan Pilat,United States
7.41,5.99,6.79,1,3.86,Ryan Pilat,United States
6.74,5.99,5.94,1,3.86,Ryan Pilat,United States
8.26,5.99,5.82,2,3.86,Ryan Pilat,United States
6.83,5.99,5.76,1,3.86,Ryan Pilat,United States
6.85,5.99,6.32,1,3.86,Ryan Pilat,United States
7.5,5.99,6.34,2,3.86,Ryan Pilat,United States
6.86,5.99,5.62,2,3.86,Ryan Pilat,United States
7.1,5.99,5.73,2,3.86,Ryan Pilat,United States
7.37,5.99,6.54,1,3.86,Ryan Pilat,United States
7.45,5.99,6.08,3,3.86,Ryan Pilat,United States
7.23,5.99,6.7,1,3.86,Ryan Pilat,United States
6.22,5.99,5.71,1,3.86,Ryan Pilat,United States
7.15,5.99,6.17,2,3.86,Ryan Pilat,United States
6.85,5.99,5.92,1,3.86,Ryan Pilat,United States
6.67,5.99,5.96,1,3.86,Ryan Pilat,United States
6.92,5.99,5.91,1,3.86,Ryan Pilat,United States
5.29,5.09,3.86,1,3.86,Yufang Du (杜昱方),China
5.38,5.09,4.42,3,3.86,Yufang Du (杜昱方),China
5.89,5.09,5.15,4,3.86,Yufang Du (杜昱方),China
5.66,5.09,4.84,1,3.86,Yufang Du (杜昱方),China
5.53,5.09,5.12,2,3.86,Yufang Du (杜昱方),China
5.41,5.09,4.56,2,3.86,Yufang Du (杜昱方),China
5.54,5.09,4.74,2,3.86,Yufang Du (杜昱方),China
5.85,5.09,4.86,3,3.86,Yufang Du (杜昱方),China
5.31,5.09,4.79,2,3.86,Yufang Du (杜昱方),China
6.57,5.72,5.22,1,3.88,Jode Brewster,Australia
7.7,5.72,6.66,6,3.88,Jode Brewster,Australia
7.81,5.72,7.41,4,3.88,Jode Brewster,Australia
8.3,5.72,7.84,1,3.88,Jode Brewster,Australia
7.45,5.72,6.5,1,3.88,Jode Brewster,Australia
7.16,5.72,6.33,1,3.88,Jode Brewster,Australia
8.11,5.72,6.98,2,3.88,Jode Brewster,Australia
7.17,5.72,6.08,6,3.88,Jode Brewster,Australia
7.45,5.72,7.11,4,3.88,Jode Brewster,Australia
8.63,5.9,4.46,66,3.89,Asher Kim-Magierek,United States
7.3,5.9,7.12,6,3.89,Asher Kim-Magierek,United States
6.62,5.9,5.66,1,3.89,Asher Kim-Magierek,United States
7.02,5.9,6.09,2,3.89,Asher Kim-Magierek,United States
6.61,5.9,5.04,1,3.89,Asher Kim-Magierek,United States
6.73,5.9,5.9,2,3.89,Asher Kim-Magierek,United States
6.53,5.9,5.87,1,3.89,Asher Kim-Magierek,United States
5.51,5.16,4.42,3,3.95,Bofan Zhang (张博藩),China
6.09,5.16,5.17,6,3.95,Bofan Zhang (张博藩),China
5.71,5.16,4.98,2,3.95,Bofan Zhang (张博藩),China
5.8,5.16,5.38,4,3.95,Bofan Zhang (张博藩),China
5.25,5.16,4.44,1,3.95,Bofan Zhang (张博藩),China
6.01,5.16,5.37,3,3.95,Bofan Zhang (张博藩),China
5.56,5.16,5.18,3,3.95,Bofan Zhang (张博藩),China
5.38,4.84,4.0,1,4.0,Ruihang Xu (许瑞航),China
5.56,4.84,4.72,4,4.0,Ruihang Xu (许瑞航),China
5.54,4.84,5.42,1,4.0,Ruihang Xu (许瑞航),China
5.74,4.84,4.09,1,4.0,Ruihang Xu (许瑞航),China
7.83,6.55,5.36,3,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
8.47,6.55,7.29,3,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
7.34,6.55,6.16,2,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
7.66,6.55,5.56,3,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
7.55,6.55,6.91,3,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
7.11,6.55,5.41,2,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
8.39,6.55,7.4,4,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
8.39,6.55,6.51,4,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
8.21,6.55,7.27,4,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
8.5,6.55,6.14,9,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
7.94,6.55,4.02,3,4.02,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand
6.51,5.49,5.4,2,4.03,Max Siauw,United States
7.27,5.49,5.56,18,4.03,Max Siauw,United States
6.66,5.49,6.0,11,4.03,Max Siauw,United States
6.05,5.49,4.48,1,4.03,Max Siauw,United States
6.33,5.49,5.65,2,4.03,Max Siauw,United States
6.53,5.49,5.72,2,4.03,Max Siauw,United States
6.1,5.49,5.11,1,4.03,Max Siauw,United States
6.56,5.49,6.06,2,4.03,Max Siauw,United States
6.11,5.49,4.96,1,4.03,Max Siauw,United States
6.78,5.49,5.55,1,4.03,Max Siauw,United States
6.13,5.49,5.49,1,4.03,Max Siauw,United States
6.7,5.49,5.88,3,4.03,Max Siauw,United States
6.34,5.49,5.59,1,4.03,Max Siauw,United States
6.26,5.49,5.21,1,4.03,Max Siauw,United States
6.38,5.49,5.95,1,4.03,Max Siauw,United States
7.87,5.49,7.75,5,4.03,Max Siauw,United States
7.95,6.93,6.54,2,4.03,Ryan Tan,Australia
7.64,6.93,7.35,1,4.03,Ryan Tan,Australia
8.86,6.93,7.24,11,4.03,Ryan Tan,Australia
6.51,6.08,5.83,1,4.05,Carson Widjaja,United States
7.65,6.08,6.78,30,4.05,Carson Widjaja,United States
8.68,6.08,6.64,26,4.05,Carson Widjaja,United States
6.42,6.08,5.73,1,4.05,Carson Widjaja,United States
6.35,6.08,6.07,2,4.05,Carson Widjaja,United States
7.22,6.08,6.54,2,4.05,Carson Widjaja,United States
6.57,6.08,4.7,1,4.05,Carson Widjaja,United States
6.57,6.08,6.01,2,4.05,Carson Widjaja,United States
6.62,6.08,5.18,1,4.05,Carson Widjaja,United States
6.58,6.08,5.97,2,4.05,Carson Widjaja,United States
6.8,6.08,6.23,3,4.05,Carson Widjaja,United States
6.6,6.08,4.8,1,4.05,Carson Widjaja,United States
6.37,6.08,5.83,1,4.05,Carson Widjaja,United States
6.54,6.08,5.88,1,4.05,Carson Widjaja,United States
6.56,6.08,5.76,1,4.05,Carson Widjaja,United States
7.09,6.08,6.29,1,4.05,Carson Widjaja,United States
6.62,6.08,6.47,2,4.05,Carson Widjaja,United States
6.86,5.81,5.64,2,4.05,Radosław Marcinek,Poland
7.61,5.81,5.58,18,4.05,Radosław Marcinek,Poland
6.2,5.81,5.38,1,4.05,Radosław Marcinek,Poland
6.58,5.81,6.07,2,4.05,Radosław Marcinek,Poland
6.77,5.81,5.06,1,4.05,Radosław Marcinek,Poland
6.52,5.81,6.19,1,4.05,Radosław Marcinek,Poland
7.13,5.81,6.77,1,4.05,Radosław Marcinek,Poland
7.21,5.81,5.05,1,4.05,Radosław Marcinek,Poland
6.78,5.81,6.2,1,4.05,Radosław Marcinek,Poland
6.46,5.81,6.2,1,4.05,Radosław Marcinek,Poland
6.77,5.81,4.7,1,4.05,Radosław Marcinek,Poland
7.95,5.81,6.5,1,4.05,Radosław Marcinek,Poland
6.52,6.27,6.04,1,4.07,Ianis Costin Chele,Romania
6.5,6.27,5.85,8,4.07,Ianis Costin Chele,Romania
6.71,6.27,5.64,1,4.07,Ianis Costin Chele,Romania
6.79,6.27,6.29,2,4.07,Ianis Costin Chele,Romania
6.58,6.27,5.23,1,4.07,Ianis Costin Chele,Romania
7.29,6.27,6.3,1,4.07,Ianis Costin Chele,Romania
6.57,6.27,6.34,1,4.07,Ianis Costin Chele,Romania
6.33,6.27,5.06,1,4.07,Ianis Costin Chele,Romania
6.99,6.27,6.06,1,4.07,Ianis Costin Chele,Romania
7.56,6.27,5.78,2,4.07,Ianis Costin Chele,Romania
7.19,6.27,6.11,1,4.07,Ianis Costin Chele,Romania
7.28,6.27,5.81,2,4.07,Ianis Costin Chele,Romania
6.27,6.27,4.07,1,4.07,Ianis Costin Chele,Romania
7.04,6.27,5.55,2,4.07,Ianis Costin Chele,Romania
8.83,7.96,7.99,9,4.08,Sebastian Stone,United States
8.78,7.96,7.48,8,4.08,Sebastian Stone,United States
8.96,7.96,7.82,6,4.08,Sebastian Stone,United States
8.36,7.96,7.59,58,4.08,Sebastian Stone,United States
8.35,7.96,7.75,2,4.08,Sebastian Stone,United States
8.41,7.96,8.12,13,4.08,Sebastian Stone,United States
9.29,7.96,7.13,15,4.08,Sebastian Stone,United States
8.16,7.96,6.97,2,4.08,Sebastian Stone,United States
8.98,7.96,7.05,8,4.08,Sebastian Stone,United States
9.09,7.96,7.92,7,4.08,Sebastian Stone,United States
8.4,7.96,7.78,3,4.08,Sebastian Stone,United States
8.68,7.96,7.73,2,4.08,Sebastian Stone,United States
8.97,7.96,7.69,10,4.08,Sebastian Stone,United States
8.97,7.96,4.08,5,4.08,Sebastian Stone,United States
10.14,7.96,7.79,20,4.08,Sebastian Stone,United States
8.24,7.96,6.85,5,4.08,Sebastian Stone,United States
10.2,7.96,8.62,19,4.08,Sebastian Stone,United States
10.07,7.96,8.46,8,4.08,Sebastian Stone,United States
10.49,7.96,7.84,15,4.08,Sebastian Stone,United States
9.03,7.96,7.9,18,4.08,Sebastian Stone,United States
9.45,7.96,7.25,22,4.08,Sebastian Stone,United States
10.27,7.96,7.61,15,4.08,Sebastian Stone,United States
6.59,5.45,5.94,1,4.11,Sean Patrick Villanueva,Philippines
6.43,5.45,5.9,4,4.11,Sean Patrick Villanueva,Philippines
5.45,5.45,5.01,1,4.11,Sean Patrick Villanueva,Philippines
6.41,5.45,6.09,2,4.11,Sean Patrick Villanueva,Philippines
6.52,5.45,5.31,2,4.11,Sean Patrick Villanueva,Philippines
6.94,5.45,6.24,3,4.11,Sean Patrick Villanueva,Philippines
6.82,5.45,5.44,1,4.11,Sean Patrick Villanueva,Philippines
6.38,5.45,4.8,1,4.11,Sean Patrick Villanueva,Philippines
6.51,5.45,5.22,2,4.11,Sean Patrick Villanueva,Philippines
5.99,5.45,5.02,1,4.11,Sean Patrick Villanueva,Philippines
6.37,5.45,5.67,1,4.11,Sean Patrick Villanueva,Philippines
5.96,5.45,5.33,1,4.11,Sean Patrick Villanueva,Philippines
6.96,5.45,4.95,2,4.11,Sean Patrick Villanueva,Philippines
6.18,5.45,5.66,1,4.11,Sean Patrick Villanueva,Philippines
7.35,5.63,6.11,3,4.14,Brennen Lin,Canada
7.71,5.63,7.15,15,4.14,Brennen Lin,Canada
7.17,5.63,6.1,14,4.14,Brennen Lin,Canada
7,5.63,6.92,2,4.14,Brennen Lin,Canada
6.96,5.63,5.93,1,4.14,Brennen Lin,Canada
7.2,5.63,6.11,2,4.14,Brennen Lin,Canada
7.6,5.63,6.56,1,4.14,Brennen Lin,Canada
7.17,5.94,5.97,1,4.15,Brendyn Dunagan,United States
6.98,5.94,5.49,13,4.15,Brendyn Dunagan,United States
6.98,5.94,6.23,2,4.15,Brendyn Dunagan,United States
7.1,5.94,6.46,2,4.15,Brendyn Dunagan,United States
7.23,5.94,6.47,2,4.15,Brendyn Dunagan,United States
6.5,5.94,5.98,2,4.15,Brendyn Dunagan,United States
7.56,5.94,6.14,4,4.15,Brendyn Dunagan,United States
6.59,5.94,5.7,1,4.15,Brendyn Dunagan,United States
5.74,5.53,5.26,2,4.16,Feliks Zemdegs,Australia
6.87,5.53,5.19,2,4.16,Feliks Zemdegs,Australia
6.08,5.53,4.48,1,4.16,Feliks Zemdegs,Australia
6.66,5.53,6.14,1,4.16,Feliks Zemdegs,Australia
6.22,5.53,5.93,2,4.16,Feliks Zemdegs,Australia
6.78,5.53,6.09,3,4.16,Feliks Zemdegs,Australia
5.64,5.64,5.3,2,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.69,5.64,5.63,10,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.25,5.64,5.12,3,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.23,5.64,5.28,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
5.9,5.64,4.26,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.4,5.64,5.16,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.56,5.64,5.61,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.65,5.64,5.43,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
7.63,5.64,6.24,2,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.8,5.64,6.22,2,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.29,5.64,5.62,1,4.17,Seung Hyuk Nahm (남승혁),Republic of Korea
6.84,6.0,6.32,3,4.19,Riley Dexter,Australia
6.38,6.0,5.48,2,4.19,Riley Dexter,Australia
6.56,6.0,5.62,3,4.19,Riley Dexter,Australia
9.33,7.46,7.76,26,4.24,Agustín Mera Landa,Chile
8.16,7.46,7.03,3,4.24,Agustín Mera Landa,Chile
8.75,7.46,6.99,4,4.24,Agustín Mera Landa,Chile
8.42,7.46,8.09,3,4.24,Agustín Mera Landa,Chile
8.43,7.46,6.73,3,4.24,Agustín Mera Landa,Chile
9.93,7.46,6.98,6,4.24,Agustín Mera Landa,Chile
8.36,7.46,7.66,3,4.24,Agustín Mera Landa,Chile
8.38,7.46,6.81,3,4.24,Agustín Mera Landa,Chile
8.53,7.46,7.77,3,4.24,Agustín Mera Landa,Chile
8.13,7.46,7.26,3,4.24,Agustín Mera Landa,Chile
8.56,7.46,4.24,3,4.24,Agustín Mera Landa,Chile
7.46,7.46,6.89,2,4.24,Agustín Mera Landa,Chile
8.14,7.11,7.73,6,4.24,Magdalena Pabisz,Poland
7.4,7.11,5.94,4,4.24,Magdalena Pabisz,Poland
7.25,7.11,6.85,30,4.24,Magdalena Pabisz,Poland
7.53,7.11,6.62,3,4.24,Magdalena Pabisz,Poland
8.43,7.11,7.77,8,4.24,Magdalena Pabisz,Poland
7.78,7.11,7.1,5,4.24,Magdalena Pabisz,Poland
7.33,7.11,6.68,3,4.24,Magdalena Pabisz,Poland
7.44,7.11,7.27,3,4.24,Magdalena Pabisz,Poland
8.09,7.11,6.4,4,4.24,Magdalena Pabisz,Poland
7.58,7.11,5.45,1,4.24,Magdalena Pabisz,Poland
8.07,7.11,4.24,5,4.24,Magdalena Pabisz,Poland
6.71,5.57,6.01,2,4.24,Patrick Ponce,United States
6.38,5.57,5.45,3,4.24,Patrick Ponce,United States
6.47,5.57,5.2,6,4.24,Patrick Ponce,United States
6.6,5.57,5.81,1,4.24,Patrick Ponce,United States
6.86,5.57,5.95,1,4.24,Patrick Ponce,United States
6.2,5.57,5.39,2,4.24,Patrick Ponce,United States
5.97,5.57,5.3,1,4.24,Patrick Ponce,United States
7.09,5.57,5.47,2,4.24,Patrick Ponce,United States
6,5.57,5.17,1,4.24,Patrick Ponce,United States
6.22,5.39,4.7,1,4.26,Dylan Miller,United States
6.33,5.39,5.55,1,4.26,Dylan Miller,United States
6.77,5.39,5.87,3,4.26,Dylan Miller,United States
7.47,5.39,5.95,26,4.26,Dylan Miller,United States
6.2,5.39,5.25,4,4.26,Dylan Miller,United States
6.18,5.39,5.22,2,4.26,Dylan Miller,United States
6.12,5.39,5.54,1,4.26,Dylan Miller,United States
5.72,5.39,4.36,1,4.26,Dylan Miller,United States
6.6,5.39,5.33,1,4.26,Dylan Miller,United States
6.43,5.39,5.81,2,4.26,Dylan Miller,United States
6.27,5.39,5.93,1,4.26,Dylan Miller,United States
5.99,5.39,5.27,1,4.26,Dylan Miller,United States
6.32,5.39,5.19,1,4.26,Dylan Miller,United States
6.9,5.39,5.65,1,4.26,Dylan Miller,United States
5.83,5.39,4.46,1,4.26,Dylan Miller,United States
6.15,5.39,5.29,1,4.26,Dylan Miller,United States
6.24,5.39,5.86,1,4.26,Dylan Miller,United States
6.1,5.39,5.05,1,4.26,Dylan Miller,United States
6.27,5.39,5.29,1,4.26,Dylan Miller,United States
6.96,5.6,5.33,1,4.26,Kyle Santucci,Canada
5.64,5.6,5.22,1,4.26,Kyle Santucci,Canada
6.46,5.6,5.94,5,4.26,Kyle Santucci,Canada
